category,product_url,title,publisher,authors,description,image_urls,image_paths,classified
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Extra-Soru-Bankasi-1Kitap-Kafa-Dengi-Yayinlari-790038.html,AYT Fizik Extra Soru Bankası 1.Kitap Kafa Dengi Yayınları,Kafadengi Yayınları,Ömer Öztel,"9. Sınıf, Robust, Fizik, Soru Bankası, Kafadengi Yayınları, 9786259401294, Ömer Öztel",https://cdn.kitapsec.com/image/urun/2022/11/26/1669452851.png,dtyResimler\AYT-Fizik-Extra-Soru-Bankasi-1Kitap-Kafa-Dengi-Yayinlari-790038.html_1.png,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Gun-Gun-Soru-Bankasi-Strateji-Yayinlari-909832.html,AYT Fizik Gün Gün Soru Bankası Strateji Yayınları,Strateji Yayınları,Strateji Komisyon,"AYT Tarih, Gün Gün, Soru Bankası, Strateji Yayınları, 9786257222600",https://cdn.kitapsec.com/image/urun/2024/12/05/1733407696.jpg,dtyResimler\AYT-Fizik-Gun-Gun-Soru-Bankasi-Strateji-Yayinlari-909832.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Hedef-Odakli-Soru-Kitabi-Dogru-Cevap-Yayinlari-335623.html,AYT Fizik Hedef Odaklı Soru Kitabı Doğru Cevap Yayınları,Doğru Cevap Yayınları,Doğru Cevap Komisyon,5. Sınıf Fen Bilimleri Süper Test Çek Kopar Doğru Cevap Yayınları 9786057778833,https://cdn.kitapsec.com/image/urun/2018/11/28/1543420223.jpg,dtyResimler\AYT-Fizik-Hedef-Odakli-Soru-Kitabi-Dogru-Cevap-Yayinlari-335623.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-IQ-Soru-Kutuphanesi-PRF-Paraf-Yayinlari-825413.html,AYT Fizik IQ Soru Kütüphanesi PRF Paraf Yayınları,Prf Paraf Yayınları,Strateji Komisyon,"AYT Tarih, Gün Gün, Soru Bankası, Strateji Yayınları, 9786257222600",https://cdn.kitapsec.com/image/urun/2023/06/14/1686738513.jpg,dtyResimler\AYT-Fizik-IQ-Soru-Kutuphanesi-PRF-Paraf-Yayinlari-825413.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Iceberg-Soru-Bankasi-Okyanus-Yayinlari-376340.html,AYT Fizik Iceberg Soru Bankası Okyanus Yayınları,Okyanus Yayınları,Okyanus Komisyon,"6. Sınıf, Classmate, Sosyal Bilgiler, Etkinlikli, Soru Bankası, Okyanus Yayınları, 9786259545042",https://cdn.kitapsec.com/image/urun/2019/09/09/1568040617.jpg,dtyResimler\AYT-Fizik-Iceberg-Soru-Bankasi-Okyanus-Yayinlari-376340.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Konu-Ozetli-Soru-Bankasi-Aydin-Yayinlari-315382.html,AYT Fizik Konu Özetli Soru Bankası Aydın Yayınları,Aydın Yayınları,Süleyman Tahancı,"TYT, Fen Bilimleri, 15 Deneme, Aydın Yayınları, 9786257833400",https://cdn.kitapsec.com/image/urun/2023/11/08/1699454712.jpg,dtyResimler\AYT-Fizik-Konu-Ozetli-Soru-Bankasi-Aydin-Yayinlari-315382.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Konu-Ozetli-ve-Tamami-Cozumlu-Soru-Tahmin-Kitabi-Benim-Hocam-Yayinlari-721811.html,AYT Fizik Konu Özetli ve Tamamı Çözümlü Soru Tahmin Kitabı Benim Hocam Yayınları,Benim Hocam Yayınları,Benim Hocam Komisyon,"TYT, 5 li Deneme, Benim Hocam, 9786256073678",https://cdn.kitapsec.com/image/urun/2022/03/22/1647937901.jpg,dtyResimler\AYT-Fizik-Konu-Ozetli-ve-Tamami-Cozumlu-Soru-Tahmin-Kitabi-Benim-Hocam-Yayinlari-721811.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Kuvvet-Hareket-1-Konu-Anlatimli-Soru-Bankasi-Cap-Yayinlari-794620.html,AYT Fizik Kuvvet Hareket 1 Konu Anlatımlı Soru Bankası Çap Yayınları,Çap Yayınları,Çap Komisyon,"TYT MSÜ KPSS, Türkçe Seti, Çap Yayınları, 9786256040854",https://cdn.kitapsec.com/image/urun/2022/12/12/1670850611.png,dtyResimler\AYT-Fizik-Kuvvet-Hareket-1-Konu-Anlatimli-Soru-Bankasi-Cap-Yayinlari-794620.html_1.png,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Origami-Soru-Bankasi-Tammat-Yayincilik-667110.html,AYT Fizik Origami Soru Bankası Tammat Yayıncılık,Tammat Yayıncılık,Komisyon,"2.Sınıf, Vip, Tüm Dersler, Konu Anlatımı, Editör Yayınevi, 9786052806845",https://cdn.kitapsec.com/image/urun/2021/11/08/1636372459.jpg,dtyResimler\AYT-Fizik-Origami-Soru-Bankasi-Tammat-Yayincilik-667110.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Plus-Soru-Bankasi-Cap-Yayinlari-890454.html,AYT Fizik Plus Soru Bankası Çap Yayınları,Çap Yayınları,Balamir Açar,"TYT Fizik, 35 li, Deneme, Çap Yayınları, Balamir Açar, Ferhat Arslan, 9786256040403",https://cdn.kitapsec.com/image/urun/2024/08/13/1723557872.jpg,dtyResimler\AYT-Fizik-Plus-Soru-Bankasi-Cap-Yayinlari-890454.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Pro-300-Soruda-Sondaj-Kamp-Yayin-Denizi-737387.html,AYT Fizik Pro 300 Soruda Sondaj Kamp Yayın Denizi,Yayın Denizi Yayınları,Komisyon,"2.Sınıf, Vip, Tüm Dersler, Konu Anlatımı, Editör Yayınevi, 9786052806845",https://cdn.kitapsec.com/image/urun/2022/04/29/1651243322.jpg,dtyResimler\AYT-Fizik-Pro-300-Soruda-Sondaj-Kamp-Yayin-Denizi-737387.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Pro-Soru-Bankasi-Yayin-Denizi-Yayinlari-541548.html,AYT Fizik Pro Soru Bankası Yayın Denizi Yayınları,Yayın Denizi Yayınları,Suat Candan,AYT Fizik Pro Soru Bankası Yayın Denizi Yayınları | 9786051973357,https://cdn.kitapsec.com/image/urun/2020/08/27/1598505596.jpg,dtyResimler\AYT-Fizik-Pro-Soru-Bankasi-Yayin-Denizi-Yayinlari-541548.html_1.jpg,Fizik
AYT Soru Bankası,https://www.kitapsec.com/Products/AYT-Fizik-Seti-Tamami-Video-Cozumlu-Cap-Yayinlari-340567.html,AYT Fizik Seti Tamamı Video Çözümlü Çap Yayınları,Çap Yayınları,Çap Komisyon,"TYT MSÜ KPSS, Türkçe Seti, Çap Yayınları, 9786256040854",https://cdn.kitapsec.com/image/urun/2022/10/27/1666864187.jpg,dtyResimler\AYT-Fizik-Seti-Tamami-Video-Cozumlu-Cap-Yayinlari-340567.html_1.jpg,Fizik
